Events
100
Subject,Context,Name,Time (s),Description
Julie,Left,Foot Off,62.424,The instant the toe leaves the ground
Julie,Left,Foot Strike,62.822,The instant the heel strikes the ground
Julie,Left,Foot Off,63.564,The instant the toe leaves the ground
Julie,Left,Foot Strike,63.975,The instant the heel strikes the ground
Julie,Left,Foot Off,64.714,The instant the toe leaves the ground
Julie,Left,Foot Strike,65.129,The instant the heel strikes the ground
Julie,Left,Foot Off,65.893,The instant the toe leaves the ground
Julie,Left,Foot Strike,66.335,The instant the heel strikes the ground
Julie,Left,Foot Off,67.131,The instant the toe leaves the ground
Julie,Left,Foot Strike,67.564,The instant the heel strikes the ground
Julie,Left,Foot Off,68.361,The instant the toe leaves the ground
Julie,Left,Foot Strike,68.802,The instant the heel strikes the ground
Julie,Left,Foot Off,69.617,The instant the toe leaves the ground
Julie,Left,Foot Strike,70.079,The instant the heel strikes the ground
Julie,Left,Foot Off,70.879,The instant the toe leaves the ground
Julie,Left,Foot Strike,71.333,The instant the heel strikes the ground
Julie,Left,Foot Off,72.127,The instant the toe leaves the ground
Julie,Left,Foot Strike,72.565,The instant the heel strikes the ground
Julie,Left,Foot Off,73.364,The instant the toe leaves the ground
Julie,Left,Foot Strike,73.773,The instant the heel strikes the ground
Julie,Left,Foot Off,74.549,The instant the toe leaves the ground
Julie,Left,Foot Strike,74.965,The instant the heel strikes the ground
Julie,Left,Foot Off,75.765,The instant the toe leaves the ground
Julie,Left,Foot Strike,76.185,The instant the heel strikes the ground
Julie,Left,Foot Off,76.976,The instant the toe leaves the ground
Julie,Left,Foot Strike,77.419,The instant the heel strikes the ground
Julie,Left,Foot Off,78.211,The instant the toe leaves the ground
Julie,Left,Foot Strike,78.665,The instant the heel strikes the ground
Julie,Left,Foot Off,79.459,The instant the toe leaves the ground
Julie,Left,Foot Strike,79.89,The instant the heel strikes the ground
Julie,Left,Foot Off,80.662,The instant the toe leaves the ground
Julie,Left,Foot Strike,81.079,The instant the heel strikes the ground
Julie,Left,Foot Off,81.871,The instant the toe leaves the ground
Julie,Left,Foot Strike,82.324,The instant the heel strikes the ground
Julie,Left,Foot Off,83.088,The instant the toe leaves the ground
Julie,Left,Foot Strike,83.54,The instant the heel strikes the ground
Julie,Left,Foot Off,84.289,The instant the toe leaves the ground
Julie,Left,Foot Strike,84.718,The instant the heel strikes the ground
Julie,Left,Foot Off,85.508,The instant the toe leaves the ground
Julie,Left,Foot Strike,85.936,The instant the heel strikes the ground
Julie,Left,Foot Off,86.735,The instant the toe leaves the ground
